ID;x-coordinate;y-coordinate;cell_x;cell_y;municipality;purpose;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;annual_average;layer;Name
4108/070-0;405329.26;5308161.21;179;355;Ehrenkirchen;Waermepumpe (Entnahmestelle) ausgefuehrt;3400;2250;3675;5315;5010;3300;4700;3500;4050;3900;4280;10.80438356;2;
4110/070-2;403483.99;5312649.43;143;265;Schallstadt;Beregnung;5912;8733;11554;5994;7458;11335;6231;15211;6744;8855;6584;23.56438356;2;
4111/070-8;406633.74;5307456.48;206;369;Ehrenkirchen;Waermepumpe (Entnahmestelle) ausgefuehrt;2680;2350;2693;2528;2502;2083;1792;1856;1861;1737;1804;5.949315068;2;
4125/070-6;412535.4;5313216.14;324;254;Merzhausen;Waermepumpe (Entnahmestelle) ausgefuehrt;;54166;30351;18136;21909;26283;17660;998;15653;21119;20703;62.18575342;2;
4129/070-8;402596.35;5306970.68;125;378;Bad Krozingen;Beregnung Sport- und Freizeitanlagen;;31;22;1;4;0;0;0;0;0;0;0.015890411;2;
4130/070-5;402614.34;5306947.69;125;379;Bad Krozingen;Beregnung Sport- und Freizeitanlagen;;33;181;7;374;0;0;0;0;0;0;0.163013699;2;
4131/070-0;402569.36;5306912.7;124;380;Bad Krozingen;Beregnung Sport- und Freizeitanlagen;;33;0;3;0;0;0;0;0;0;0;0.009863014;2;
4134/070-7;407295.49;5309078.84;219;336;Ehrenkirchen;oeffentliche Wasserversorgung;412921;351644;304901;373339;286270;280504;256200;282870;263090;268307;210313;819.5164384;2;
42/020-4;399692.52;5308091.22;67;356;Bad Krozingen;Beregnung;1821;1631;1747;881;1037;1421;1110;1213;1158;1622;1745;3.832054795;2;
44/020-5;399874.44;5309464.68;70;329;Bad Krozingen;Beregnung;10914;7775;30005;4620;3900;20600;30600;29800;20750;36500;59100;63.40328767;2;
4412/069-6;409290.64;5322349.51;259;71;March;Beregnung;1418;1555;2203;2127;2476;2417;3192;2049;1707;2120;1936;5.778356164;2;
4414/069-7;405840;5320788.12;190;102;Umkirch;Beregnung;29160;11340;13780;7010;11100;27710;18100;7870;580;17980;13650;39.42219178;2;
4416/069-8;407861.2;5324378.7;230;30;March;Beregnung;970;1140;690;380;1160;1050;1020;1120;240;580;1720;2.508219178;2;
4418/069-9;407338.43;5320280.33;220;112;Umkirch;Bewaesserung;213;213;213;213;0;0;;8271;2389;2663;0;3.883561644;2;
4456/069-3;409610.52;5324096.82;265;36;March;Beregnung;4800;3600;8400;5200;5500;6700;5000;5000;4100;5900;4000;14.49561644;2;
4462/069-8;408361.02;5321284.92;240;92;Umkirch;Beregnung;12720;700;6390;3740;6280;11830;0;7120;610;0;6770;13.98767123;2;
4475/069-0;409592.52;5322268.54;265;72;March;Waermepumpe (Entnahmestelle) ausgefuehrt;0;0;0;5375;155791;141233;137575;149182;159875;106489;75908;231.9871233;2;
4476/069-6;409458.57;5322387.49;262;70;March;Waermepumpe (Entnahmestelle) ausgefuehrt;67600;68275;96103;99675;116039;115492;116185;66293;77719;122942;146984;272.3054795;2;
4477/069-1;407765.26;5320201.36;228;114;Umkirch;Waermepumpe (Entnahmestelle) ausgefuehrt;9276;8346;10691;11349;11026;10832;10703;11202;;10317;11240;28.76219178;2;
4491/069-1;409676.49;5322215.57;266;74;March;Waermepumpe (Entnahmestelle) ausgefuehrt;86453;81018;125876;111919;55491;95165;110945;112107;118809;102725;129864;281.5372603;2;
4492/069-7;409634.51;5322221.56;266;73;March;Waermepumpe (Entnahmestelle) ausgefuehrt;55327;66006;116791;110992;71389;65553;67629;87422;79314;51623;57871;206.7041096;2;
4493/069-2;409549.54;5322301.53;264;72;March;Waermepumpe (Entnahmestelle) ausgefuehrt;59527;77070;93641;111874;73248;64829;71714;67851;82181;51086;59680;202.4161644;2;
4495/069-3;409408.59;5322433.48;261;69;March;Waermepumpe (Entnahmestelle) ausgefuehrt;0;0;12982;125358;83613;76202;79473;104344;86680;58494;67455;173.0013699;2;
45/020-0;399776.48;5309044.85;68;337;Bad Krozingen;Beregnung;20955;11333;24215;24041;31170;33448;38526;38709;25548;42129;29200;79.52027397;2;
4511/069-8;407473.13;5319622.29;222;125;Umkirch;Notwasserversorgung;3037;284;616;203;653;111;201;166;251;103;139;1.435616438;2;
4516/069-5;410474.19;5324779.55;282;22;March;Waermepumpe (Entnahmestelle) ausgefuehrt;4553;2530;3027;4172;3392;3307;3074;3072;3268;2765;2363;8.847671233;2;
4522/069-0;407782.25;5320510.25;229;108;Umkirch;Waermepumpe (Entnahmestelle) ausgefuehrt;11182;10800;11038;11927;9061;8158;8947;13170;14706;12583;12136;30.81150685;2;
4526/069-1;407314.42;5321696.75;219;84;Umkirch;Waermepumpe (Entnahmestelle) ausgefuehrt;7620;13419;12160;105293;154954;124423;104490;111708;113148;149802;159520;263.1473973;2;
4532/069-6;408514.95;5323799.93;243;42;March;Waermepumpe (Entnahmestelle) ausgefuehrt;24702;20849;21179;23479;21648;22187;19644;16383;14306;16078;13411;53.26684932;2;
4536/069-8;405748.04;5322549.42;188;67;Gottenheim;Waermepumpe (Entnahmestelle) ausgefuehrt;12227;9963;11411;6009;11166;8976;10432;8988;9578;6939;7748;25.76273973;2;
4557/069-6;407474.36;5319626.59;222;125;Umkirch;oeffentliche Wasserversorgung;282643;284180;302083;304983;317695;320412;313723;323557;307796;304621;295497;836.1619178;2;
4563/069-0;407597.32;5321430.86;225;89;Umkirch;Kuehlwasserversorgung;476597;448706;448575;422512;434217;404955;263536;126473;144447;184537;148209;872.4194521;2;
4571/069-6;408906.81;5323521.04;251;47;March;Waermepumpe (Entnahmestelle) ausgefuehrt;104890;86186;107549;83557;90621;89004;98525;96451;53771;85792;86574;244.8120548;2;
4580/069-7;405910.98;5322821.32;191;61;Gottenheim;Bewaesserung;5421;6819;6180;5516;6862;9293;8387;10398;5893;12897;10369;21.92657534;2;
46/071-7;409920.44;5299728.56;271;523;Muenstertal/ Schwarzwald;;162360;166289;156102;136807;142428;145801;131626;132713;138755;142564;143724;398.2986301;2;
