c1;c2;c3;c4;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
66.84361;16.87019;16.87019;16.87019;1.160996;0.0;0;-32.53142700705663;-17.675216122159384;33.045582318320854;17.675216122159384;-1.1593061971551442;0.20179252118611385;0.18967942390624515;0.07692307692307693
47.11491;16.127613;16.127613;16.127613;0.77218276;0.0;0;-34.92832865471473;-19.516265019560905;35.2367427483068;19.516265019560905;-1.0852988573698064;0.20179252118611385;0.18967942390624515;0.02564102564102564
56.527958;30.212105;30.212105;30.212105;0.7519055;0.0;0;-35.823682936875116;-19.58945632612901;36.13044579868713;19.58945632612901;-1.0847048914509048;0.20179252118611385;0.18967942390624515;0.02564102564102564
76.502235;14.499967;7.0423427;7.0423427;0.7603992;0.0;0;-30.387476980434275;-14.494398905878597;30.82018040272688;14.494398905878597;-1.1300070723055666;0.20179252118611385;0.18967942390624518;0.10256410256410256
63.475483;92.19291;57.23151;50.31053;0.97595346;0.0;0;-33.827000490514635;-16.102018271045694;34.22200690786637;16.102018271045694;-1.1164470521739016;0.20179252118611385;0.18967942390624523;0.02564102564102564
55.362404;51.300316;51.300316;51.300316;1.0616913;0.0;0;-35.91717041436463;-19.589495776901032;36.23921940274202;19.589495776901032;-1.090203476399149;0.20179252118611385;0.18967942390624518;0.02564102564102564
55.925125;62.36128;39.64455;39.64455;0.9907359;0.0;0;-33.89418353611571;-16.200208665150086;34.285583476117786;16.200208665150086;-1.115149763290005;0.20179252118611385;0.18967942390624515;0.02564102564102564
30.40197;35.75524;35.75524;35.75524;1.0885651;0.0;0;-35.7095360152599;-19.467097456860813;35.97370614137608;19.467097456860813;-1.0693838240503402;0.20179252118611385;0.18967942390624515;0.02564102564102564
3.0914752;27.631851;22.076303;4.9336567;0.9748013;0.0;0;-32.51577990094509;-16.597017938844147;32.71359522226932;16.597017938844147;-1.0348184383051324;0.20179252118611385;0.18967942390624515;0.05128205128205128
43.677372;50.322685;10.572325;10.572325;0.7712819;0.0;0;-29.270217473652966;-12.327685950385472;29.805431255574792;12.327685950385472;-1.133236791337515;0.20179252118611385;0.18967942390624515;0.28205128205128205
21.466322;29.439354;29.439354;2.0667;0.86308336;0.0;0;-32.886355849979495;-17.29966606112643;33.320942760601454;17.29966606112643;-1.1134362254724102;0.20179252118611385;0.18967942390624515;0.05128205128205128
40.85878;34.371155;34.371155;34.371155;1.2463121;0.0;0;-35.4607873243226;-19.29269748387526;35.726195724517744;19.29269748387526;-1.0698292446206374;0.20179252118611385;0.18967942390624515;0.02564102564102564
85.341774;45.28056;31.13481;17.398869;0.9229319;0.0;0;-33.74518519349644;-15.899344196039863;34.03163519188762;15.899344196039863;-1.0773981349234163;0.20179252118611385;0.18967942390624515;0.02564102564102564
23.40161;50.578312;50.578312;50.578312;0.91238284;0.0;0;-35.94808562058993;-19.589590477332393;36.32201287940196;19.589590477332393;-1.1088646510095266;0.20179252118611385;0.18967942390624515;0.02564102564102564
