per,nseg,icalc,outseg,iupseg,iprior,nstrpts,flow,runoff,etsw,pptsw,roughch,roughbk,cdpth,fdpth,awdth,bwdth,hcond1,thickm1,elevup,width1,depth1,thts1,thti1,eps1,uhc1,hcond2,thickm2,elevdn,width2,depth2,thts2,thti2,eps2,uhc2
0,60,1,204,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.62,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,614.17,4.96,0.0,0.0,0.0,0.0,0.0
0,61,1,204,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1129.7101,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.22,4.96,0.0,0.0,0.0,0.0,0.0
0,62,1,204,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.82,8.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.31998,7.9,0.0,0.0,0.0,0.0,0.0
0,63,1,204,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,565.18,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.91998,6.64,0.0,0.0,0.0,0.0,0.0
0,64,1,204,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.27997,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.62,4.96,0.0,0.0,0.0,0.0,0.0
0,65,1,208,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.4801,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.68616,9.61,0.0,0.0,0.0,0.0,0.0
0,66,1,209,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.375,10.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.8,9.61,0.0,0.0,0.0,0.0,0.0
0,67,1,213,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.56998,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.41998,3.09,0.0,0.0,0.0,0.0,0.0
0,68,1,214,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.08,17.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.58,16.55,0.0,0.0,0.0,0.0,0.0
0,69,1,224,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.98325,1.0,0.0,0.0,0.0,0.0,0.0
0,70,1,224,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.68062,1.0,0.0,0.0,0.0,0.0,0.0
0,71,1,224,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.47,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.41,1.0,0.0,0.0,0.0,0.0,0.0
0,72,1,226,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.79,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.3028,3.12,0.0,0.0,0.0,0.0,0.0
0,73,1,227,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.14,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.63467,6.34,0.0,0.0,0.0,0.0,0.0
0,74,1,227,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.33,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.59998,6.34,0.0,0.0,0.0,0.0,0.0
0,75,1,227,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.70996,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.37,6.34,0.0,0.0,0.0,0.0,0.0
0,76,1,227,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.74,6.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.47247,6.34,0.0,0.0,0.0,0.0,0.0
0,77,1,233,0,0,0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.62001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.955,1.0,0.0,0.0,0.0,0.0,0.0
