;[m3/s]
;Q
2016-05-06;2.272
2016-05-07;1.906
2016-05-08;1.686
2016-05-09;1.501
2016-05-10;1.359
2016-05-11;1.183
2016-05-12;1.798
2016-05-13;4.667
2016-05-14;5.573
2016-05-15;5.052
2016-05-16;3.837
2016-05-17;2.918
2016-05-18;2.311
2016-05-19;2.273
2016-05-20;1.831
2016-05-21;1.654
2016-05-22;1.514
2016-05-23;2.571
2016-05-24;3.938
2016-05-25;3.277
2016-05-26;2.635
2016-05-27;2.141
2016-05-28;1.875
2016-05-29;1.773
2016-05-30;2.069
2016-05-31;1.68
2016-06-01;1.499
2016-06-02;1.871
2016-06-03;1.843
2016-06-04;3.633
2016-06-05;3.24
2016-06-06;2.75
2016-06-07;2.445
2016-06-08;2.499
2016-06-09;2.94
2016-06-10;2.539
2016-06-11;2.386
2016-06-12;2.907
2016-06-13;3.793
2016-06-14;4.346
2016-06-15;5.267
2016-06-16;5.566
2016-06-17;7.874
2016-06-18;7.257
2016-06-19;5.727
