;[m3/s]
;Q
2016-03-02;2.197
2016-03-03;2.253
2016-03-04;1.909
2016-03-05;2.4
2016-03-06;2.047
2016-03-07;1.775
2016-03-08;1.585
2016-03-09;1.435
2016-03-10;1.354
2016-03-11;1.286
2016-03-12;1.23
2016-03-13;1.237
2016-03-14;1.179
2016-03-15;1.165
2016-03-16;1.098
2016-03-17;1.102
2016-03-18;1.195
2016-03-19;1.319
2016-03-20;1.41
2016-03-21;1.417
2016-03-22;1.35
2016-03-23;1.275
2016-03-24;1.216
2016-03-25;1.32
2016-03-26;1.627
2016-03-27;1.597
2016-03-28;1.536
2016-03-29;1.807
2016-03-30;1.842
2016-03-31;1.798
2016-04-01;1.702
2016-04-02;1.564
2016-04-03;1.507
2016-04-04;1.427
2016-04-05;1.362
2016-04-06;1.558
2016-04-07;1.369
2016-04-08;1.231
2016-04-09;1.101
2016-04-10;1.003
2016-04-11;1.0
2016-04-12;1.24
2016-04-13;1.685
2016-04-14;1.409
2016-04-15;1.907
2016-04-16;3.475
2016-04-17;10.814
2016-04-18;6.446
2016-04-19;4.356
2016-04-20;3.288
2016-04-21;2.598
2016-04-22;2.18
2016-04-23;2.033
2016-04-24;1.882
2016-04-25;1.798
2016-04-26;1.927
2016-04-27;1.949
2016-04-28;1.864
2016-04-29;2.028
2016-04-30;2.41
2016-05-01;3.441
2016-05-02;3.203
2016-05-03;2.856
2016-05-04;2.582
2016-05-05;2.166
2016-05-06;1.909
2016-05-07;1.697
2016-05-08;1.549
2016-05-09;1.398
2016-05-10;1.444
2016-05-11;1.852
2016-05-12;1.812
2016-05-13;2.952
2016-05-14;2.977
2016-05-15;2.728
2016-05-16;2.421
2016-05-17;2.251
2016-05-18;1.902
2016-05-19;1.891
2016-05-20;1.592
2016-05-21;1.428
2016-05-22;1.284
2016-05-23;1.636
2016-05-24;2.35
2016-05-25;1.752
2016-05-26;1.483
2016-05-27;1.351
2016-05-28;1.23
2016-05-29;1.598
2016-05-30;1.916
2016-05-31;1.519
2016-06-01;1.285
2016-06-02;1.294
2016-06-03;1.705
2016-06-04;2.537
2016-06-05;2.901
2016-06-06;2.987
2016-06-07;2.374
2016-06-08;3.932
2016-06-09;4.621
2016-06-10;3.047
2016-06-11;2.525
2016-06-12;2.368
2016-06-13;2.392
2016-06-14;2.161
2016-06-15;2.193
2016-06-16;2.124
2016-06-17;2.531
2016-06-18;2.161
2016-06-19;2.562
