model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1126;505.75848;252.53105;360.74884;88.374725;7.5185103;1.066271;0.4860054;0.060467254;0.4193311;1.0616512;0.0;0;-32.030403124425995;-15.075975504451321;33.171182552559756;15.075975504451321;-1.2166657390480204;0.20044593143431833;0.18531554452469937;0.0975609756097561
1127;689.3013;15.365602;230.61435;30.12081;5.1456404;0.62716866;1.9736398;1.3918709;1.5780118;1.2445189;0.0;0;-7.219559526832;-9.957408791718024;12.965119033497547;12.24796017758976;-1.3509648462709969;0.00465000609151197;0.06096925874966372;0.14634146341463414
1128;656.15985;539.4539;93.82337;39.14138;4.2947783;0.035325833;0.38586605;1.6423757;0.80192757;0.97152066;0.0;0;-29.307961998394227;-13.569319676933759;30.97885509844842;14.46501073530618;-1.40296858036064;0.29632806532566497;0.21332506696352244;0.17073170731707318
1129;992.1216;125.479454;792.1463;45.53726;0.37533;0.88017476;1.1410203;0.908699;1.5838835;0.8898277;0.0;0;10.831703052498614;9.57179905649167;35.537788342194595;16.59562817008444;-5.658967055204181;-0.030894105180981374;-0.31165250721459425;0.0975609756097561
1130;999.4277;294.62134;248.08517;2.7946844;8.218466;0.35326785;0.24060932;0.35508463;0.8436663;1.1898727;0.0;0;-30.930093762159565;-15.577224023790478;31.722024079475133;15.577224023790478;-1.2082879700062332;0.20044593143431833;0.18531554452469937;0.0975609756097561
1131;521.2948;644.77795;289.86087;86.41053;4.312822;1.9175847;0.1217181;1.2344167;1.591522;0.912847;0.0;0;-31.316629802914886;-15.14457084049647;33.28257767481611;15.204176770843958;-1.4341685043906076;0.28857582282469446;0.21559021372484685;0.12195121951219512
1132;104.24709;727.8645;189.97832;33.861046;3.2164643;1.6190916;0.9808648;1.479131;1.7919899;1.101394;0.0;0;-27.32873516124923;-14.690582438892989;29.35759454964683;15.016643949624552;-1.5206501316142773;0.3562831181532157;0.2491969469255094;0.24390243902439024
1133;730.5649;270.82108;975.1364;20.007917;6.0702777;1.481655;1.6113532;1.3130858;0.9001183;0.915924;0.0;0;-36.67398259926186;-16.084196236526196;37.21969036296983;16.084196236526196;-1.1618420699349343;0.20044593143431833;0.18531554452469942;0.04878048780487805
1134;976.89746;335.90173;783.2244;40.978786;7.5438366;0.9121307;1.0673169;0.71802735;1.9728708;1.2228612;0.0;0;-32.82482266453882;-15.847091619070483;33.504107813109904;15.847091619070483;-1.2146044954397603;0.20044593143431833;0.18531554452469937;0.07317073170731707
1135;325.14313;254.44014;930.60065;71.08528;5.235283;0.5256186;0.5943246;0.74297553;1.8664933;1.0130502;0.0;0;-28.74683002524932;-14.709392779794314;29.702067655282722;15.551245540428624;-1.2720233235069855;0.20044593143431833;0.18531554452469937;0.14634146341463414
1136;466.5968;957.3197;863.10614;87.10447;1.5043359;0.6554825;0.04329209;1.1027039;0.04056279;0.90989554;0.0;0;-13.217225419747365;0.9011043079667047;28.747928681194093;14.608138724508024;-3.9309812312135324;0.40541445908828033;0.3214010084872814;0.0975609756097561
1137;430.52914;198.61453;907.2338;21.61611;9.217248;0.4166847;1.8816589;0.3948534;1.1326423;1.1612096;0.0;0;-36.861703785992844;-17.79584928095349;37.26012443762145;17.79584928095349;-1.115135164611106;0.20044593143431833;0.18531554452469937;0.024390243902439025
1138;60.904964;191.3488;484.2437;17.344036;1.1373664;1.1082585;0.43165034;1.6938912;1.3176732;0.781237;0.0;0;-0.8345534546041474;8.781580667847749;29.19148830790024;16.5946220846173;-4.567938652330511;0.046973913049393835;-0.08994288681285695;0.0975609756097561
1139;675.5418;450.58493;178.83603;94.38392;9.69602;1.6244401;1.153398;0.2136149;1.687897;0.796879;0.0;0;-44.83797654188111;-18.884169225165323;45.27673782973489;18.884169225165323;-1.1268734944404966;0.20044593143431833;0.18531554452469937;0.07317073170731707
1140;359.80432;197.4133;333.61154;55.134212;4.430346;0.38294765;0.040897254;0.9782339;1.3499864;1.1683581;0.0;0;-11.533680673033778;-0.8202935503723268;22.775403886283453;9.057166440745732;-2.000136565975403;-0.07838770470991331;0.013511105619445182;0.24390243902439024
1141;789.58923;165.14137;299.527;36.640625;9.466765;0.019049425;0.20343709;1.7202836;1.3796197;0.911707;0.0;0;-39.49117062277219;-19.35490486141788;39.92320535601948;19.35490486141788;-1.1044511717553547;0.20044593143431833;0.18531554452469942;0.04878048780487805
1142;833.7989;104.920746;719.9625;20.012014;9.147351;0.25995696;0.34863734;1.0635418;0.586394;0.83827746;0.0;0;-39.820109652271604;-18.849569332989773;40.211488013568726;18.849569332989773;-1.0675470022021594;0.20044593143431833;0.18531554452469942;0.04878048780487805
1143;823.0185;643.76953;35.41596;99.52526;4.06861;0.927255;0.2335046;1.5242894;1.6428789;1.0435772;0.0;0;-27.68569251026612;-14.898361832940509;30.159853256418913;14.971301683944375;-1.53198580858922;0.3491535201005529;0.24264130055613248;0.14634146341463414
1144;422.49933;615.9614;150.6218;71.94651;8.002253;0.047006104;1.0661998;0.4867593;0.13594438;0.8772886;0.0;0;-39.51709636960287;-16.508010300516418;41.49588466052169;16.508010300516418;-1.210895121187969;0.06299888002986578;0.16933086858126245;0.0975609756097561
1145;328.33023;653.66125;686.0563;21.866743;0.90682757;0.8125031;0.80013627;0.8965698;1.3182168;1.2435917;0.0;0;-1.9634913222747892;14.317814281950717;28.517677891237405;17.316283242560132;-5.512786303052019;0.2414179303860536;0.30710356892226576;0.07317073170731707
1146;751.3326;775.567;132.20793;9.216819;0.83651537;0.23120457;1.6045572;1.4289896;0.41202766;1.1603005;0.0;0;-12.501181415550283;-0.8157813594729646;23.174586136767743;9.747193790106849;-3.915328010385034;0.5500412128900025;0.48138855956636956;0.24390243902439024
1147;803.37555;333.09442;57.808933;20.008307;3.5660064;0.22445518;0.2412463;1.7777772;1.5334963;1.1945876;0.0;0;-12.193986921821825;0.645081720815341;21.967321533860574;11.42274248683563;-2.1669104222809246;0.2830090189908285;0.23155636991757567;0.3170731707317073
1148;496.34488;919.2395;118.12302;24.849485;6.101753;1.4280959;0.8678253;1.2896608;1.5825803;1.1667932;0.0;0;-34.99940980256796;-14.619670272269872;36.05913480740204;14.833676488838563;-1.2846968060052333;0.29632806532566497;0.1863133156756536;0.14634146341463414
1149;894.1007;735.87256;693.7674;11.197456;0.10311749;1.9989995;0.86221933;0.49310535;0.35782212;1.1929303;0.0;0;12.203597612090919;30.205058101783266;38.410071815735655;34.15362576297309;-9.566944923670283;0.0378437092231678;0.04721949682538711;0.0975609756097561
1150;152.4696;806.6615;147.932;23.042171;5.1565995;0.39701843;0.46931547;0.3011227;1.5891705;0.91898954;0.0;0;-36.110333399964254;-15.117960773862876;37.170921011936635;15.230018242324519;-1.2876572295922168;0.20044593143431833;0.18531554452469942;0.0975609756097561
1151;880.2781;723.75256;154.84132;11.766293;9.756713;0.46688235;0.20096335;1.6846642;1.6766161;1.086706;0.0;0;-40.23259208392946;-16.492038780284446;40.9355289596582;16.492038780284446;-1.189038360909459;0.20044593143431833;0.18531554452469937;0.04878048780487805
1152;105.13428;364.8711;237.9972;37.835396;8.58587;0.5998723;0.031218998;1.1125314;0.115533195;1.2034913;0.0;0;-30.560290840141363;-14.070256862127366;32.62765991331873;14.905774306529821;-1.2715195826991441;0.04359501066736694;0.1790548579270618;0.0975609756097561
1153;161.99026;290.20215;753.4016;48.670906;2.3323815;1.5723675;0.047467493;0.3759054;0.86571336;1.0929753;0.0;0;0.06706662777846427;10.507738561854268;29.89790115292171;15.939577413036318;-4.833788590249242;0.025486963446713286;-0.09069751121504066;0.04878048780487805
1154;538.5016;428.2919;208.34938;45.58297;5.285407;1.0167286;0.80326384;0.9764967;0.39346346;1.2485775;0.0;0;-24.846158175303106;-10.137961917723317;26.655411035761734;13.211765245786864;-1.3910195859701777;0.29632806532566497;0.21503871059289054;0.1951219512195122
1155;76.84329;106.06006;45.021645;82.93809;1.7223736;1.1456473;0.1180118;0.26138207;0.2615475;1.1827668;0.0;0;42.039003230809236;23.550443518168407;57.268442998231436;27.534329514833786;-10.970333821311849;-0.15555279019719948;-0.35427984647395383;0.07317073170731707
1156;62.27903;456.7677;906.80475;25.474138;2.6399689;1.0975492;0.79516953;0.21929158;1.6090746;0.785469;0.0;0;-29.6404891038038;-15.256586202473699;31.06451191616127;15.326759132794649;-1.4018272319621172;0.29632806532566497;0.21960376117139882;0.21951219512195122
1157;10.5135565;52.70957;877.55524;88.72067;9.230779;1.875369;0.880445;1.840754;0.59342575;1.0008327;0.0;0;-34.62959332303333;-17.856091976653005;35.23087093055981;17.856091976653005;-1.098195848228609;0.20044593143431833;0.18531554452469937;0.0975609756097561
1158;441.9535;13.906501;192.97081;90.82147;9.977803;0.07935741;0.896318;1.093808;1.2915528;0.8877702;0.0;0;-31.62721618617391;-19.28127559632128;32.16981849677202;19.28127559632128;-1.0544017982210097;0.19366322379551335;0.19089650702819325;0.07317073170731707
1159;776.8776;932.18396;272.68918;95.98399;2.4331844;0.32425207;0.39139438;0.5053361;0.017326081;1.1875277;0.0;0;-16.018396551850717;-4.636641252150952;27.037102718282686;13.575047953747685;-2.5513349896429407;0.2283420975564506;0.19806280825624198;0.24390243902439024
1160;44.489967;692.4435;196.672;18.180225;2.1285582;0.7704048;1.0024434;1.7637209;0.16811366;1.2186238;0.0;0;-15.245960684087219;-3.1848242967744795;22.330043878391805;8.270668724126438;-2.4981542821313574;0.45788518922482435;0.3528596317429501;0.3902439024390244
1161;655.73505;566.22845;722.3392;24.65054;3.8447547;0.9811816;0.7907114;1.9977796;1.2243795;1.0333086;0.0;0;-28.687918499054913;-14.160620099054825;30.221973483955797;14.508137654738164;-1.4109162175778498;0.29632806532566497;0.2208035721095773;0.17073170731707318
1162;824.89606;347.691;257.5088;62.420845;4.4641056;0.23673445;1.9791586;1.769562;0.7468425;0.77907026;0.0;0;-37.49907664533565;-16.040991188524004;38.23771013288079;16.040991188524004;-1.2020948503774906;0.20044593143431833;0.18531554452469942;0.12195121951219512
1163;176.32085;574.83264;932.13525;14.175075;0.90159416;1.7874076;0.100284345;1.4977067;1.7606132;0.92333984;0.0;0;4.0375709555415975;23.1302563355174;34.35276110911241;23.793939667733383;-7.832930495685698;0.23175250074385853;0.2790374955903481;0.024390243902439025
1164;155.3951;892.66003;829.3646;8.653571;1.4856095;1.3589393;0.11721823;1.9245131;0.17365626;0.8442879;0.0;0;-16.076618411299098;-2.0823583522099227;27.69095648348455;14.312905429211838;-3.635215745353856;0.4946193599154701;0.4199584058600097;0.14634146341463414
1165;862.193;655.8563;592.5171;7.4623513;4.2540245;1.8651643;1.6508144;0.4028006;1.2512777;1.0146369;0.0;0;-33.49227156148549;-13.814487890049236;34.39437589453442;14.53544441919945;-1.2579770828467698;0.29632806532566497;0.1882041020712878;0.0975609756097561
1166;824.8934;606.45715;18.848843;60.65435;2.3618515;1.8821945;0.5393778;1.7566103;1.4087352;1.2424197;0.0;0;-13.696436956689467;-0.5535852788426894;21.572208890336615;6.944695831282218;-2.418715954181131;0.46927918530793583;0.3564345552444095;0.4146341463414634
1167;543.55237;465.60245;884.8327;80.48734;8.450898;1.0299407;0.37573507;0.72389156;1.226327;0.9216305;0.0;0;-40.10391003866211;-17.298576844155633;40.84232575170604;17.298576844155633;-1.1913674996166839;0.20044593143431833;0.18531554452469937;0.0975609756097561
1168;821.0079;352.24005;730.484;25.962677;7.51795;1.7074864;1.7502257;0.07415343;1.3646115;1.116987;0.0;0;-36.194060631845865;-15.918614319674447;36.73443812321897;15.918614319674447;-1.1687772172184039;0.20044593143431833;0.18531554452469937;0.04878048780487805
1169;101.828514;701.56165;790.0283;93.36004;5.368021;1.4761417;1.070131;0.074432105;0.5061675;1.1655271;0.0;0;-31.45726719000329;-13.320707848263652;33.20906033780888;13.67968618550799;-1.3404130369141039;0.29632806532566497;0.19901968434719863;0.14634146341463414
