model_run;-8;-7;-6;-5;-4;1-3;1.8-3;3-3;4-3;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
1271;386.92505;229.07838;326.57538;99.25409;9.49364;0.90584075;1.0910962;1.1123112;1.1987067;0.8780087;0.0;0;-27.0640112681183;-18.335197423077886;27.53086781933701;18.335197423077886;-1.1162487510935895;0.20179252118611385;0.18967942390624515;0.07692307692307693
1272;403.54977;597.7815;958.82294;7.678185;8.406429;0.6565154;1.8944119;1.8889823;0.26301712;1.1668241;0.0;0;-22.720565779006918;-15.784713798782178;23.773117318442758;15.784713798782178;-1.1765727871671785;0.20179252118611385;0.18967942390624515;0.07692307692307693
1273;588.90515;35.558823;211.7329;65.83057;3.17651;1.8376955;0.6554128;0.43068346;1.6289685;0.939765;0.0;0;4.206520918442234;-4.360768306249071;16.809605932841066;11.2603401597149;-2.3403234015583316;-0.24163170025018357;-0.4424654941134129;0.28205128205128205
1274;136.77208;45.03565;71.89515;27.377314;3.958894;1.6666616;0.76148814;1.151236;0.6021292;1.2494253;0.0;0;10.396621859295736;0.03906421687395323;19.595188827629;8.95574350910718;-3.019446755541786;-0.2362944685245907;-0.44151155174570045;0.3076923076923077
1275;327.87476;729.877;359.48468;12.645221;8.42418;1.815101;1.1954063;1.8588239;0.79949605;1.000635;0.0;0;-25.86437478969355;-16.702310842349874;26.539616257189838;16.702310842349874;-1.1775311647711486;0.20179252118611385;0.18967942390624515;0.05128205128205128
1276;201.27625;218.0635;143.09755;14.964663;0.87003344;1.2740817;1.1967701;1.143716;1.1059192;1.231431;0.0;0;25.00919760242101;15.13456177106417;32.55632216134514;19.247156281786687;-7.722068781118771;-0.15513244902506637;-0.40418752029172084;0.05128205128205128
1277;112.25064;659.85297;135.31615;93.65008;2.9538164;0.75868016;1.5770075;0.62289965;1.955495;0.9844391;0.0;0;-16.195553776426795;-13.97817374663768;17.62540267521127;14.05362504843913;-1.4145192268003193;0.2991688517571227;0.21956541877302668;0.23076923076923078
1278;867.48315;752.4229;413.37616;68.39656;5.3202453;1.516057;1.5910864;1.6251955;0.6319238;1.107125;0.0;0;-19.579859458503318;-13.680248698838852;20.84164843378756;13.708558443126037;-1.2938989817433846;0.20179252118611385;0.18967942390624515;0.1282051282051282
1279;593.43787;68.737854;313.32724;5.141049;8.290752;0.22604828;0.031633206;0.28623214;0.093332924;0.7818187;0.0;0;-23.227746274051707;-17.58478084455848;24.260629808045987;17.58478084455848;-1.070800817051086;0.20179252118611385;0.1896794239062452;0.05128205128205128
1280;365.08606;772.0564;100.80951;98.42458;5.650521;1.7076284;1.5307567;0.3124806;1.9451876;0.9724839;0.0;0;-23.283814944582264;-15.383235321827613;24.187005755316378;15.890662528824492;-1.2694600632526534;0.20179252118611385;0.18967942390624515;0.10256410256410256
1281;414.58267;275.737;608.2604;80.800446;4.9028907;0.06727084;1.4385587;1.4649385;1.9153837;0.8853934;0.0;0;-20.307534395528663;-15.444989636381592;21.020138807187585;15.444989636381592;-1.2306904835376975;0.20179252118611385;0.18967942390624515;0.10256410256410256
1282;437.20383;395.6505;506.68277;30.987013;9.621554;1.6382426;1.1756827;0.14797038;0.40457708;1.1465881;0.0;0;-22.878099668020848;-16.52659517102012;23.742786085440805;16.52659517102012;-1.165187469004159;0.20179252118611385;0.18967942390624515;0.07692307692307693
1283;636.8177;95.7728;86.328674;47.139584;1.1729399;1.4108416;0.64080364;0.11075526;1.6597973;1.0162178;0.0;0;34.54391087654446;12.630024469811474;42.51763403878726;18.131624229613152;-8.035373623097671;-0.20072916082936115;-0.4780657195254343;0.10256410256410256
1284;927.5017;840.2437;864.117;72.68494;7.802859;0.18603624;1.8150415;0.7643587;1.8400381;1.0700039;0.0;0;-25.47081230182858;-15.676028520068854;26.20704503379348;15.676028520068854;-1.220779687683008;0.20179252118611385;0.18967942390624515;0.10256410256410256
1285;933.45184;565.1215;291.86594;67.635605;1.2790782;0.30252573;1.4790571;0.8018339;0.03585434;0.8769095;0.0;0;-6.773910242582822;-4.683634032537867;13.648286048572295;10.994172675223808;-1.896158845430075;0.12612944979185878;0.15563114048714843;0.28205128205128205
1286;397.57706;509.61862;961.76697;46.361782;7.330946;0.910259;0.5220019;0.94460416;1.511952;0.80841595;0.0;0;-26.332622987211852;-16.521950389256205;27.01325428297708;16.521950389256205;-1.1969253325529172;0.20179252118611385;0.18967942390624515;0.10256410256410256
