[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[-];[m];
-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;rch;offset;complete
442.35022;508.1454;114.57747;45.407146;52.138165;17.309628;3.5404186;1.0049734;0.060790222;1.1689785;0.021605361;52.138165;17.309628;8.514499;1.0049734;0.060790222;0.95850986;0.021605361;17.36201;17.309628;0.57721597;0.060790222;1.1472579;0.0;0
222.43883;301.37973;529.5147;2.1548488;233.90504;26.598433;0.020422738;1.6522634;1.4657028;0.48931703;0.083082244;233.90504;26.598433;5.2079597;1.6522634;0.5041057;0.48931703;0.083082244;31.760017;26.598433;5.6369095;0.5041057;1.171321;0.0;0
414.44336;350.20947;908.1744;88.8268;992.698;32.497383;0.24109593;1.9279474;0.9416983;1.8059926;1.0713401;512.53094;32.497383;0.5329401;1.3533773;0.15793562;1.632406;1.0713401;95.24561;32.497383;3.818166;0.15793562;0.9976552;0.0;0
854.869;458.22336;318.1664;17.473217;352.4052;13.944461;1.4687297;1.2145098;1.879313;0.64280206;1.1773425;352.4052;13.944461;1.0282207;1.2145098;0.5258861;0.16475925;1.1773425;69.34999;13.944461;5.560105;0.5258861;0.8231381;0.0;0
241.6001;510.67636;802.1587;62.524982;331.51807;53.66968;1.027612;0.75895566;0.36186394;1.9170425;0.71249866;331.51807;15.906383;2.8886507;0.28828335;0.36186394;1.6069602;0.71249866;76.10682;15.906383;9.573108;0.17826132;1.079048;0.0;0
67.71971;984.4709;177.5053;57.104774;161.26413;34.198376;4.902396;1.43923;0.49552703;0.018228153;0.16701198;161.26413;34.198376;1.7918305;1.3681633;0.49552703;0.018228153;0.16701198;26.729626;34.198376;7.8588734;0.49552703;1.1235737;0.0;0
288.57007;231.08936;748.1147;62.59039;987.2723;60.823967;9.001043;1.397165;1.2810646;1.6659083;1.8700309;164.01064;53.54889;9.963387;1.397165;1.2810646;0.6997392;1.1015866;29.444794;39.97774;4.7707887;0.22122173;1.2122166;0.0;0
300.6578;493.0964;561.45667;56.38532;238.15472;36.849022;0.8555707;0.5024539;0.11864939;0.5307505;0.8173702;238.15472;36.849022;7.1764646;0.5024539;0.11864939;0.5307505;0.8173702;99.48897;36.849022;6.811325;0.11864939;0.95318896;0.0;0
665.29736;158.01662;183.2668;71.58731;650.3583;11.730711;8.699671;0.8766729;1.0117924;0.41122872;0.8643241;650.3583;11.730711;4.3922772;0.8766729;1.0117924;0.14952648;0.35181737;80.558716;11.730711;5.6334805;1.0117924;0.93965584;0.0;0
561.46185;356.49924;720.9064;62.648384;51.626984;87.27248;6.684897;0.2766871;0.2559272;1.7694498;0.7691007;31.451185;44.422035;8.070957;0.2766871;0.2559272;0.5391803;0.7691007;10.473245;44.422035;1.9798394;0.2559272;0.99169;0.0;0
786.0592;720.13763;716.6185;9.120995;75.80761;51.01424;1.6972598;0.8105339;0.33118093;0.6157042;0.12834007;75.80761;51.01424;2.9477289;0.6492194;0.33118093;0.6157042;0.12834007;33.597523;51.01424;4.5659623;0.33118093;1.0547359;0.0;0
667.6704;182.71753;520.2809;36.74012;719.58417;32.252865;2.9044676;1.5278702;1.0290787;1.171918;1.4237905;290.285;32.252865;0.30016756;1.268776;0.47414926;1.171918;0.5857494;54.555576;17.669245;1.1178175;0.47414926;0.9935284;0.0;0
412.323;585.5378;233.21297;54.704685;638.81647;1.7348387;1.949893;0.63466644;1.1424509;1.4761913;1.3329722;638.81647;1.7348387;3.6573198;0.63466644;0.40513322;1.3690014;1.3329722;57.661686;1.7348387;4.568865;0.40513322;1.1061893;0.0;0
815.8802;422.53403;140.97095;32.587223;683.3608;59.824863;7.8950915;1.2697351;0.43194914;0.8442114;0.3372844;181.5534;45.396263;3.5865116;1.2697351;0.43194914;0.04643198;0.3372844;33.975243;45.396263;4.3996334;0.43194914;1.0400062;0.0;0
175.30319;61.063747;957.6825;76.05705;238.6607;78.27219;7.2537527;0.6620228;0.5497649;0.21166256;0.5444788;238.6607;78.27219;1.4099997;0.6620228;0.5497649;0.057613377;0.5444788;23.006819;21.599113;6.986271;0.05563985;1.2204936;0.0;0
32.48495;933.7445;659.2544;31.857983;985.0401;65.04112;3.0510495;0.3027363;0.5753741;1.8454508;1.0983704;365.30295;50.371475;6.308543;0.3027363;0.5753741;1.1941575;0.9701021;26.734806;50.371475;2.7015824;0.5753741;0.821137;0.0;0
99.147385;419.4671;811.14905;82.88555;562.7914;78.79316;0.55279994;1.4853612;0.29220155;1.2985268;0.7597648;195.09154;32.649117;3.872065;1.227638;0.29220155;0.4682018;0.39852807;38.692223;32.649117;3.936225;0.18442424;0.94879365;0.0;0
725.13574;786.0873;700.0008;14.758698;969.85266;15.583085;1.6957202;1.1827314;1.9317845;1.7858709;1.995879;29.547113;15.583085;2.9914396;1.1827314;0.017460523;1.3068827;1.2798034;9.839189;15.583085;4.1217456;0.017460523;0.7531134;0.0;0
467.25845;422.15036;831.17896;76.96232;172.52885;97.17313;6.302465;1.6526607;1.3874779;1.5377761;0.9979905;172.52885;86.027374;6.048101;1.3138807;0.023606975;0.20081249;0.9979905;11.684897;11.132281;1.725322;0.023606975;1.1598462;0.0;0
169.65906;937.9867;170.8659;18.428198;411.04852;21.212196;0.91282433;1.3611187;0.23057525;1.5502236;1.7656364;385.41687;21.212196;7.2294297;1.3611187;0.23057525;1.5502236;1.7656364;52.937378;21.212196;7.327852;0.23057525;1.1141393;0.0;0
506.03433;297.56564;501.9807;52.84873;342.32867;26.751282;5.3692904;1.6362123;0.7207488;1.1838661;0.4171794;44.76648;26.751282;9.907041;0.9993836;0.7207488;0.23823452;0.4171794;14.907238;16.987911;6.696118;0.7207488;1.1958781;0.0;0
