model_run;c;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;r_rank;r_lin;n_5m
4819;55.242954;1.1921266;0.0;0;-53.1096253909072;-19.573217419446678;53.264387642561594;19.573217419446678;-1.0312794107915555;0.20044593143431833;0.18531554452469937;0.04878048780487805
4820;71.45806;1.159881;0.0;0;-53.2138357887814;-19.60110302466927;53.37720290357672;19.60110302466927;-1.0343746730704588;0.20044593143431833;0.18531554452469937;0.04878048780487805
4821;27.472067;1.2060229;0.0;0;-52.107418244321316;-19.569819240966353;52.29001099496614;19.569819240966353;-1.041290342089055;0.20044593143431833;0.18531554452469937;0.04878048780487805
4822;66.49372;1.0168911;0.0;0;-53.31396835298954;-19.63189227583419;53.46717525061432;19.63189227583419;-1.030719933135794;0.20044593143431833;0.18531554452469942;0.04878048780487805
4823;70.40619;0.9743731;0.0;0;-53.438091837677945;-19.75730110731186;53.60394956189343;19.75730110731186;-1.0352705721990618;0.20044593143431833;0.18531554452469942;0.04878048780487805
4824;41.13396;0.94293046;0.0;0;-53.57085313808386;-19.870194523218828;53.72657574800389;19.870194523218828;-1.0316248620398947;0.20044593143431833;0.18531554452469937;0.04878048780487805
4825;40.22289;0.77320904;0.0;0;-53.664628288980985;-19.934616659413507;53.80235186680052;19.934616659413507;-1.0251504156477746;0.20044593143431833;0.18531554452469942;0.04878048780487805
4826;17.90069;1.2047607;0.0;0;-50.84407172206005;-18.973155327525234;51.096774159804205;18.973155327525234;-1.0665095543310663;0.20044593143431833;0.18531554452469937;0.024390243902439025
4827;41.4046;0.99808806;0.0;0;-52.978658249437146;-19.573315732666686;53.15784447618774;19.573315732666686;-1.040064978624315;0.20044593143431833;0.18531554452469937;0.04878048780487805
4828;78.68376;0.9775337;0.0;0;-53.53836273405179;-19.806338387120093;53.68867189346288;19.806338387120093;-1.0296775853796396;0.20044593143431833;0.18531554452469937;0.04878048780487805
4829;90.89821;1.0075837;0.0;0;-53.674903016372724;-19.89012615639075;53.83743574229127;19.89012615639075;-1.0340745343728552;0.20044593143431833;0.18531554452469937;0.04878048780487805
4830;59.365383;1.1470772;0.0;0;-39.77334472263322;-16.52734849093767;40.27955700467288;16.52734849093767;-1.1576997854280855;0.20044593143431833;0.18531554452469937;0.0975609756097561
4831;29.94404;0.86223555;0.0;0;-52.596493213471994;-19.573294044398068;52.782991703179306;19.573294044398068;-1.0426952786456722;0.20044593143431833;0.18531554452469937;0.04878048780487805
4832;68.23215;1.1049503;0.0;0;-53.57814169547253;-19.80353388261699;53.74413542356832;19.80353388261699;-1.035319494264834;0.20044593143431833;0.18531554452469937;0.04878048780487805
4833;74.01722;1.1053848;0.0;0;-53.53434088398756;-19.815371695732523;53.68970192813506;19.815371695732523;-1.0314948029234752;0.20044593143431833;0.18531554452469937;0.04878048780487805
4834;33.227955;1.1747764;0.0;0;-52.367061986142964;-19.572188215068678;52.54890678992526;19.572188215068678;-1.0410212975182944;0.20044593143431833;0.18531554452469937;0.04878048780487805
4835;82.65652;0.7543418;0.0;0;-53.76770024095629;-19.93504949459154;53.91669341850783;19.93504949459154;-1.0292042124807483;0.20044593143431833;0.18531554452469942;0.04878048780487805
4836;7.378846;0.83519775;0.0;0;-48.756883499371924;-18.253466203015194;49.04547520644125;18.253466203015194;-1.0794193124225537;0.20044593143431833;0.18531554452469937;0.024390243902439025
4837;1.0852642;0.9855234;0.0;0;-9.606397776909706;7.1143672386651815;23.40212606727176;10.3314029621815;-3.9717612523496113;0.5084956922939653;0.4801146521988247;0.0975609756097561
4838;12.305847;1.1752702;0.0;0;-49.5095809526762;-18.731642879315217;49.79314373151246;18.731642879315217;-1.077610352581101;0.20044593143431833;0.18531554452469937;0.024390243902439025
4839;15.609275;1.2325585;0.0;0;-50.26065322783647;-18.598812832748962;50.500521993928174;18.598812832748962;-1.0618931439227741;0.20044593143431833;0.18531554452469942;0.04878048780487805
4840;87.89411;1.0474343;0.0;0;-53.530402929155926;-19.806657011010117;53.683502649633716;19.806657011010117;-1.0306813803575816;0.20044593143431833;0.18531554452469942;0.04878048780487805
4841;42.50392;0.856067;0.0;0;-53.42678398869459;-19.59938282270585;53.57537987117635;19.59938282270585;-1.0290613011499172;0.20044593143431833;0.18531554452469937;0.04878048780487805
4842;27.50042;0.84229237;0.0;0;-52.64774844769228;-19.57344145679673;52.81535122299748;19.57344145679673;-1.0358982859377193;0.20044593143431833;0.18531554452469942;0.04878048780487805
4843;42.91322;1.0697219;0.0;0;-52.97877593407206;-19.573196941037395;53.1568366552182;19.573196941037395;-1.0396601220931692;0.20044593143431833;0.18531554452469937;0.04878048780487805
4844;39.49014;0.8550346;0.0;0;-53.50872985292808;-19.653694666075012;53.68776551244922;19.653694666075012;-1.0400108179644476;0.20044593143431833;0.18531554452469937;0.04878048780487805
4845;30.153152;1.0265437;0.0;0;-52.75585037230946;-19.572963391097517;52.96455202459334;19.572963391097517;-1.0506819962110903;0.20044593143431833;0.18531554452469942;0.04878048780487805
4846;13.798579;1.167406;0.0;0;-49.52341546315621;-18.739255034034358;49.80406289853394;18.739255034034358;-1.0765616720280866;0.20044593143431833;0.18531554452469937;0.024390243902439025
4847;65.594986;0.9449098;0.0;0;-53.335686386043406;-19.63967359593559;53.4847064664455;19.63967359593559;-1.029213889726872;0.20044593143431833;0.18531554452469942;0.04878048780487805
4848;13.669074;0.9392361;0.0;0;-50.91757569762592;-18.6941538070337;51.137525550089514;18.6941538070337;-1.0547280953938003;0.20044593143431833;0.18531554452469942;0.04878048780487805
4849;77.54469;0.76807016;0.0;0;-53.7340531536074;-19.934920289422536;53.863272886231265;19.934920289422536;-1.0220914906156473;0.20044593143431833;0.18531554452469942;0.04878048780487805
4850;20.176785;0.8770423;0.0;0;-52.05941308649392;-19.572770992830584;52.246636470097464;19.572770992830584;-1.0429560308152843;0.20044593143431833;0.18531554452469942;0.04878048780487805
4851;73.13982;1.0990957;0.0;0;-53.39399549582976;-19.760551454095207;53.531462447481736;19.760551454095207;-1.025058104441512;0.20044593143431833;0.18531554452469937;0.04878048780487805
4852;80.560555;0.9301956;0.0;0;-53.56579139134467;-19.82864004625509;53.71918049008022;19.82864004625509;-1.0307854728446888;0.20044593143431833;0.18531554452469942;0.04878048780487805
4853;12.5413475;0.8291495;0.0;0;-50.871951180251095;-18.85288222975433;51.10583423989782;18.85288222975433;-1.0597400206169958;0.20044593143431833;0.18531554452469942;0.04878048780487805
4854;8.683709;0.80288386;0.0;0;-49.69778795665374;-18.621419183348706;49.95660600471118;18.621419183348706;-1.0687094054623638;0.20044593143431833;0.18531554452469937;0.024390243902439025
4855;94.95778;0.7975267;0.0;0;-53.79891991421419;-19.935045490360494;53.963058198260626;19.935045490360494;-1.0346520709854024;0.20044593143431833;0.18531554452469942;0.04878048780487805
4856;46.31005;1.0795667;0.0;0;-51.24821662774783;-19.200909017158324;51.475891301545865;19.200909017158324;-1.057506797122838;0.20044593143431833;0.18531554452469942;0.04878048780487805
