model_run;-8_1;-7_1;-6_1;-5_1;-7_2;-5_2;-4_2;1-3_2;1.8-3_2;3-3_2;4-3_2;-7_3;-5_3;-4_3;1-3_3;1.8-3_3;3-3_3;4-3_3;-7_4;-5_4;-4_4;1.8-3_4;kf_riv;rhk;rch;offset;complete;ME;50E;MAE;50AE;RBIAS;RABIAS;r_rank;r_lin;n_5m;n_3m;n_1m;MAE_sfr;ME_sfr;RBIAS_sfr;RABIAS_sfr;E_multi
237;556.9527;71.77133;9.956946;9.887527;59.568798;5.969811;0.51588976;1.718742;0.74652624;1.449294;0.5246947;55.039825;1.9935211;0.5053383;0.61774105;0.74652624;0.8190921;0.5246947;31.506489;1.2201715;1.8318201;0.7210529;3.9800463;0.009041335;1.0376759;0.0;0;;;;;;;;;;;;;;;;
238;403.56735;73.594734;8.7539215;6.00249;57.366173;4.1391916;1.0848769;0.88357633;1.072202;1.7418886;0.8970253;57.366173;1.7292299;1.6174144;0.66510713;1.072202;1.7418886;0.8970253;49.621456;1.7292299;1.1431243;1.072202;2.5461423;0.009087385;0.99495804;0.0;0;;;;;;;;;;;;;;;;
239;421.8288;74.01076;5.6864443;3.9251924;53.29887;6.3456297;0.9377024;1.2663851;0.9128358;0.5105487;0.8201601;50.425983;1.7782154;1.1584027;1.2663851;0.9128358;0.5105487;0.6163745;39.08194;1.5423595;1.6930783;0.87946343;2.0155828;0.009787962;1.0144427;0.0;0;;;;;;;;;;;;;;;;
240;565.88574;72.9951;8.256946;0.9785755;58.271515;4.444291;1.6275582;1.8777462;1.8099911;1.078257;1.7938381;52.804985;1.0569546;1.3384938;1.4148065;1.8099911;1.078257;0.7624326;36.804527;0.7866252;1.9709698;1.7096889;3.9368136;0.009914571;0.9829492;0.0;0;;;;;;;;;;;;;;;;
241;559.3634;70.03357;2.3969955;1.0410956;56.663406;9.193997;1.5213102;1.367144;1.2898182;1.6530885;1.0911236;52.753674;1.7094872;0.8726358;0.7758071;1.2898182;0.5742702;1.0911236;38.40577;0.76557183;0.98851484;1.2898182;2.8600276;0.009548164;1.0030516;0.0;0;;;;;;;;;;;;;;;;
242;446.52814;72.355095;1.8227445;4.4316683;50.33068;8.849221;1.836347;1.4165894;1.9020915;1.110105;1.9223078;50.33068;1.5057577;0.9470016;1.4165894;1.6511401;0.74586964;0.84159213;45.309006;0.8617214;1.825807;1.1122025;3.2060182;0.009877897;1.0152321;0.0;0;;;;;;;;;;;;;;;;
243;506.15393;73.37653;6.638922;8.025953;51.724342;2.3595166;0.96995753;1.4319619;0.9879832;0.78031313;1.6429462;50.45765;0.99381876;0.5859396;1.4319619;0.9879832;0.78031313;0.7571325;39.409924;0.84552735;1.3562264;0.9879832;1.972578;0.009663423;1.0290747;0.0;0;;;;;;;;;;;;;;;;
244;521.2032;73.136246;7.513751;9.475599;52.612732;7.0647817;1.7833086;1.705652;0.6930657;1.661229;1.7936219;52.612732;1.0947722;1.1945432;0.8745593;0.6930657;1.1961839;0.57468385;49.902157;0.7091064;1.3921441;0.6930657;3.331259;0.00977743;1.0429802;0.0;0;;;;;;;;;;;;;;;;
245;573.5478;77.85555;1.3828136;2.3084826;57.43564;8.52205;1.3075377;0.6261837;1.7790271;1.4156729;1.7565247;50.851334;1.6903967;1.9679093;0.6261837;1.616717;1.4156729;1.2253511;46.17639;0.55013907;1.9548321;0.88243854;2.9309974;0.009586529;0.9892574;0.0;0;;;;;;;;;;;;;;;;
246;520.62146;70.47368;2.7287664;5.3385487;57.971325;2.8223183;0.73002803;1.0606022;1.4589664;1.2861584;0.73687834;54.82046;0.81135565;1.0576236;1.0606022;0.81921405;1.2861584;0.5328947;37.831936;0.81135565;1.7812215;0.81921405;4.408189;0.009123334;1.0225675;0.0;0;;;;;;;;;;;;;;;;
